City Name,Year,City Avgerage Temp.,Global Average Temp.,7 year City MA,7 year Global MA,,,,,
Bangkok,1816,25.96,6.94,26.23,7.47,,,,Hottest City,Hottest Global
Bangkok,1817,25.83,6.98,26.4,7.68,,,,28.54,9.73
Bangkok,1818,26.48,7.83,26.55,7.8,,,,Collest City,Collest Global
Bangkok,1819,25.9,7.37,26.66,7.9,,,,25.37,6.94
Bangkok,1820,26.42,7.62,26.81,8,,,,,
Bangkok,1821,26.81,8.09,26.88,8.09,,,,,
Bangkok,1822,26.93,8.19,26.33,7.57,,,,,
Bangkok,1823,26.78,7.72,26.45,7.69,,,,,
Bangkok,1825,27.11,8.39,26.63,7.89,,,,,
Bangkok,1833,26.83,8.01,26.68,7.91,,,,,
Bangkok,1834,26.82,8.15,26.81,8.02,,,,,
Bangkok,1835,25.89,7.39,26.74,7.99,,,,,
Bangkok,1836,26.36,7.7,26.67,7.94,,,,,
Bangkok,1837,25.84,7.38,26.52,7.82,,,,,
Bangkok,1838,27.08,7.51,26.56,7.79,,,,,
Bangkok,1839,26.59,7.63,26.49,7.68,,,,,
Bangkok,1840,26.83,7.8,26.49,7.65,,,,,
Bangkok,1841,27.58,7.69,26.6,7.59,,,,,
Bangkok,1842,26.88,8.02,26.74,7.68,,,,,
Bangkok,1843,26.89,8.17,26.81,7.74,,,,,
Bangkok,1844,26.39,7.65,26.89,7.78,,,,,
Bangkok,1845,26.13,7.85,26.76,7.83,,,,,
Bangkok,1846,26.55,8.55,26.75,7.96,,,,,
Bangkok,1847,26.18,8.09,26.66,8,,,,,
Bangkok,1848,26.52,7.98,26.51,8.04,,,,,
Bangkok,1849,26.62,7.98,26.47,8.04,,,,,
Bangkok,1850,26.72,7.9,26.44,8,,,,,
Bangkok,1851,26.85,8.18,26.51,8.08,,,,,
Bangkok,1852,26.67,8.1,26.59,8.11,,,,,
Bangkok,1853,26.94,8.04,26.64,8.04,,,,,
Bangkok,1854,26.94,8.21,26.75,8.06,,,,,
Bangkok,1855,26.84,8.11,26.8,8.07,,,,,
Bangkok,1856,26.56,8,26.79,8.08,,,,,
Bangkok,1857,26.72,7.76,26.79,8.06,,,,,
Bangkok,1858,26.95,8.1,26.8,8.05,,,,,
Bangkok,1859,26.88,8.25,26.83,8.07,,,,,
Bangkok,1860,26.65,7.96,26.79,8.06,,,,,
Bangkok,1861,26.59,7.85,26.74,8,,,,,
Bangkok,1862,25.37,7.56,26.53,7.93,,,,,
Bangkok,1863,26.61,8.11,26.54,7.94,,,,,
Bangkok,1864,26.49,7.98,26.51,7.97,,,,,
Bangkok,1865,26.93,8.18,26.5,7.98,,,,,
Bangkok,1866,27.04,8.29,26.53,7.99,,,,,
Bangkok,1867,26.84,8.44,26.55,8.06,,,,,
Bangkok,1868,26.92,8.25,26.6,8.12,,,,,
Bangkok,1869,26.35,8.43,26.74,8.24,,,,,
Bangkok,1870,26.4,8.2,26.71,8.25,,,,,
Bangkok,1871,26.75,8.12,26.75,8.27,,,,,
Bangkok,1872,26.88,8.19,26.74,8.27,,,,,
Bangkok,1873,26.99,8.35,26.73,8.28,,,,,
Bangkok,1874,26.91,8.43,26.74,8.28,,,,,
Bangkok,1875,26.54,7.86,26.69,8.23,,,,,
Bangkok,1876,26.5,8.08,26.71,8.18,,,,,
Bangkok,1877,27.09,8.54,26.81,8.22,,,,,
Bangkok,1878,27.58,8.83,26.93,8.33,,,,,
Bangkok,1879,26.95,8.17,26.94,8.32,,,,,
Bangkok,1880,26.83,8.12,26.91,8.29,,,,,
Bangkok,1881,27.03,8.27,26.93,8.27,,,,,
Bangkok,1882,26.85,8.13,26.98,8.31,,,,,
Bangkok,1883,26.7,7.98,27,8.29,,,,,
Bangkok,1884,26.5,7.77,26.92,8.18,,,,,
Bangkok,1885,26.97,7.92,26.83,8.05,,,,,
Bangkok,1886,26.87,7.95,26.82,8.02,,,,,
Bangkok,1887,26.62,7.91,26.79,7.99,,,,,
Bangkok,1888,27.12,8.09,26.8,7.96,,,,,
Bangkok,1889,27.21,8.32,26.86,7.99,,,,,
Bangkok,1890,26.78,7.97,26.87,7.99,,,,,
Bangkok,1891,27.13,8.02,26.96,8.03,,,,,
Bangkok,1892,26.59,8.07,26.9,8.05,,,,,
Bangkok,1893,26.37,8.06,26.83,8.06,,,,,
Bangkok,1894,26.68,8.16,26.84,8.1,,,,,
Bangkok,1895,27.05,8.15,26.83,8.11,,,,,
Bangkok,1896,27.15,8.21,26.82,8.09,,,,,
Bangkok,1897,27.19,8.29,26.88,8.14,,,,,
Bangkok,1898,26.83,8.18,26.84,8.16,,,,,
Bangkok,1899,26.84,8.4,26.87,8.21,,,,,
Bangkok,1900,27.36,8.5,27.01,8.27,,,,,
Bangkok,1901,27.28,8.54,27.1,8.32,,,,,
Bangkok,1902,27.19,8.3,27.12,8.35,,,,,
Bangkok,1903,27.14,8.22,27.12,8.35,,,,,
Bangkok,1904,26.51,8.09,27.02,8.32,,,,,
Bangkok,1905,27.22,8.23,27.08,8.33,,,,,
Bangkok,1906,27.48,8.38,27.17,8.32,,,,,
Bangkok,1907,26.8,7.95,27.09,8.24,,,,,
Bangkok,1908,26.89,8.19,27.03,8.19,,,,,
Bangkok,1909,26.98,8.18,27,8.18,,,,,
Bangkok,1910,26.95,8.22,26.98,8.18,,,,,
Bangkok,1911,27.14,8.18,27.07,8.19,,,,,
Bangkok,1912,27.24,8.17,27.07,8.18,,,,,
Bangkok,1913,27.09,8.3,27.01,8.17,,,,,
Bangkok,1914,27.28,8.59,27.08,8.26,,,,,
Bangkok,1915,27.27,8.59,27.14,8.32,,,,,
Bangkok,1916,26.82,8.23,27.11,8.33,,,,,
Bangkok,1917,26.77,8.02,27.09,8.3,,,,,
Bangkok,1918,26.78,8.13,27.04,8.29,,,,,
Bangkok,1919,27.51,8.38,27.07,8.32,,,,,
Bangkok,1920,27.23,8.36,27.09,8.33,,,,,
Bangkok,1921,26.89,8.57,27.04,8.33,,,,,
Bangkok,1922,27.14,8.41,27.02,8.3,,,,,
Bangkok,1923,26.91,8.42,27.03,8.33,,,,,
Bangkok,1924,27.04,8.51,27.07,8.4,,,,,
Bangkok,1925,26.91,8.53,27.09,8.45,,,,,
Bangkok,1926,27.49,8.73,27.09,8.5,,,,,
Bangkok,1927,27.07,8.52,27.06,8.53,,,,,
Bangkok,1928,27.13,8.63,27.1,8.54,,,,,
Bangkok,1929,26.96,8.24,27.07,8.51,,,,,
Bangkok,1930,27.16,8.63,27.11,8.54,,,,,
Bangkok,1931,27.65,8.72,27.2,8.57,,,,,
Bangkok,1932,27.17,8.71,27.23,8.6,,,,,
Bangkok,1933,27.37,8.34,27.22,8.54,,,,,
Bangkok,1934,27,8.63,27.21,8.56,,,,,
Bangkok,1935,27.54,8.52,27.26,8.54,,,,,
Bangkok,1936,27.18,8.55,27.3,8.59,,,,,
Bangkok,1937,27.51,8.7,27.35,8.6,,,,,
Bangkok,1938,27.23,8.86,27.29,8.62,,,,,
Bangkok,1939,27.12,8.76,27.28,8.62,,,,,
Bangkok,1940,27.55,8.76,27.3,8.68,,,,,
Bangkok,1941,28.18,8.77,27.47,8.7,,,,,
Bangkok,1942,27.49,8.73,27.47,8.73,,,,,
Bangkok,1943,27.07,8.76,27.45,8.76,,,,,
Bangkok,1944,27.55,8.85,27.46,8.78,,,,,
Bangkok,1945,27.46,8.58,27.49,8.74,,,,,
Bangkok,1946,27.38,8.68,27.53,8.73,,,,,
Bangkok,1947,27.75,8.8,27.55,8.74,,,,,
Bangkok,1948,27.16,8.75,27.41,8.74,,,,,
Bangkok,1949,27.39,8.59,27.39,8.72,,,,,
Bangkok,1950,27.17,8.37,27.41,8.66,,,,,
Bangkok,1951,27.57,8.63,27.41,8.63,,,,,
Bangkok,1952,27.56,8.64,27.43,8.64,,,,,
Bangkok,1953,27.48,8.87,27.44,8.66,,,,,
Bangkok,1954,27.55,8.56,27.41,8.63,,,,,
Bangkok,1955,26.99,8.63,27.39,8.61,,,,,
Bangkok,1956,26.98,8.28,27.33,8.57,,,,,
Bangkok,1957,27.6,8.73,27.39,8.62,,,,,
Bangkok,1958,27.68,8.77,27.41,8.64,,,,,
Bangkok,1959,27.83,8.73,27.44,8.65,,,,,
Bangkok,1960,27.85,8.58,27.5,8.61,,,,,
Bangkok,1961,27.42,8.8,27.48,8.65,,,,,
Bangkok,1962,27.37,8.75,27.53,8.66,,,,,
Bangkok,1963,27.34,8.86,27.58,8.75,,,,,
Bangkok,1964,27.38,8.41,27.55,8.7,,,,,
Bangkok,1965,27.44,8.53,27.52,8.67,,,,,
Bangkok,1966,27.93,8.6,27.53,8.65,,,,,
Bangkok,1967,27.35,8.7,27.46,8.66,,,,,
Bangkok,1968,27.63,8.52,27.49,8.62,,,,,
Bangkok,1969,27.78,8.6,27.55,8.6,,,,,
Bangkok,1970,27.55,8.7,27.58,8.58,,,,,
Bangkok,1971,26.89,8.6,27.51,8.61,,,,,
Bangkok,1972,27.55,8.5,27.53,8.6,,,,,
Bangkok,1973,27.63,8.95,27.48,8.65,,,,,
Bangkok,1974,27.05,8.47,27.44,8.62,,,,,
Bangkok,1975,27.29,8.74,27.39,8.65,,,,,
Bangkok,1976,27.08,8.35,27.29,8.62,,,,,
Bangkok,1977,27.69,8.85,27.31,8.64,,,,,
Bangkok,1978,27.77,8.69,27.44,8.65,,,,,
Bangkok,1979,28.17,8.73,27.53,8.68,,,,,
Bangkok,1980,28.09,8.98,27.59,8.69,,,,,
Bangkok,1981,27.35,9.17,27.63,8.79,,,,,
Bangkok,1982,27.3,8.64,27.64,8.77,,,,,
Bangkok,1983,27.54,9.03,27.7,8.87,,,,,
Bangkok,1984,27.41,8.69,27.66,8.85,,,,,
Bangkok,1985,27.44,8.66,27.61,8.84,,,,,
Bangkok,1986,27.27,8.83,27.49,8.86,,,,,
Bangkok,1987,27.84,8.99,27.45,8.86,,,,,
Bangkok,1988,27.6,9.2,27.49,8.86,,,,,
Bangkok,1989,27.66,8.92,27.54,8.9,,,,,
Bangkok,1990,27.96,9.23,27.6,8.93,,,,,
Bangkok,1991,27.85,9.18,27.66,9,,,,,
Bangkok,1992,27.55,8.84,27.68,9.03,,,,,
Bangkok,1993,27.58,8.87,27.72,9.03,,,,,
Bangkok,1994,27.76,9.04,27.71,9.04,,,,,
Bangkok,1995,27.68,9.35,27.72,9.06,,,,,
Bangkok,1996,27.37,9.04,27.68,9.08,,,,,
Bangkok,1997,28.01,9.2,27.69,9.07,,,,,
Bangkok,1998,28.44,9.52,27.77,9.12,,,,,
Bangkok,1999,27.34,9.29,27.74,9.19,,,,,
Bangkok,2000,27.52,9.2,27.73,9.23,,,,,
Bangkok,2001,27.81,9.41,27.74,9.29,,,,,
Bangkok,2002,27.98,9.57,27.78,9.32,,,,,
Bangkok,2003,27.79,9.53,27.84,9.39,,,,,
Bangkok,2004,27.8,9.32,27.81,9.41,,,,,
Bangkok,2005,27.92,9.7,27.74,9.43,,,,,
Bangkok,2006,27.92,9.53,27.82,9.47,,,,,
Bangkok,2007,27.79,9.73,27.86,9.54,,,,,
Bangkok,2008,27.48,9.43,27.81,9.54,,,,,
Bangkok,2009,27.79,9.51,27.78,9.54,,,,,
Bangkok,2010,28.54,9.7,27.89,9.56,,,,,
Bangkok,2011,27.56,9.52,27.86,9.59,,,,,
Bangkok,2012,28.48,9.51,27.94,9.561,,,,,
